ptype,proxy,latency,exit_ip,https,anonymity,country,targets,asn,org,hosting,blocklisted,url
socks5,45.74.31.23:12754,3375,162.241.54.84,True,elite,US,,19871,"Network Solutions, LLC",False,True,socks5://45.74.31.23:12754
socks5,45.74.31.25:10614,3378,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.25:10614
socks5,45.74.31.22:36576,3383,104.219.251.77,True,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.22:36576
socks5,45.74.31.30:9790,3392,34.132.56.138,True,elite,US,,396982,Google LLC,True,False,socks5://45.74.31.30:9790
socks5,45.74.31.47:6220,3398,173.199.119.161,True,elite,US,,20473,"The Constant Company, LLC",True,False,socks5://45.74.31.47:6220
socks5,45.74.31.41:4444,3399,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.41:4444
socks5,45.74.31.30:4207,3408,42.117.29.201,True,elite,VN,,18403,FPT Telecom Company,False,True,socks5://45.74.31.30:4207
socks5,45.74.31.30:4303,3414,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.30:4303
socks5,45.74.31.30:4477,3415,69.6.214.192,True,elite,BR,,26337,"Oso Grande IP Services, LLC",False,True,socks5://45.74.31.30:4477
socks5,45.74.31.30:10363,3415,50.6.137.53,True,elite,US,,19871,"Network Solutions, LLC",False,False,socks5://45.74.31.30:10363
socks4,202.58.77.40:5678,3419,103.141.108.252,False,elite,ID,,138886,PT Data Buana Nusantara,False,False,socks4://202.58.77.40:5678
http,174.138.162.237:51595,3422,68.228.244.34,True,elite,US,,22773,Cox Communications Inc.,False,False,http://174.138.162.237:51595
socks5,45.74.31.25:5549,3425,69.6.214.192,True,elite,BR,,26337,"Oso Grande IP Services, LLC",False,True,socks5://45.74.31.25:5549
socks5,45.74.31.25:8297,3427,62.219.91.13,True,elite,IL,,8551,Bezeq International Ltd.,False,False,socks5://45.74.31.25:8297
socks4,123.200.6.58:5678,3429,123.200.6.58,True,elite,BD,,23688,Link3 Technologies Limited,False,True,socks4://123.200.6.58:5678
socks4,47.238.128.246:9200,3438,47.238.128.246,False,elite,HK,,0,,,False,socks4://47.238.128.246:9200
socks5,45.74.31.47:6090,3438,217.160.240.109,True,elite,DE,,8560,IONOS SE,True,False,socks5://45.74.31.47:6090
socks5,45.74.31.30:9670,3440,172.168.194.20,True,elite,US,,8075,Microsoft Corporation,True,True,socks5://45.74.31.30:9670
socks4,27.147.161.10:1080,3449,27.147.161.10,False,elite,BD,,23688,Link3 Technologies Limited,False,False,socks4://27.147.161.10:1080
socks4,47.250.177.202:10804,3450,47.250.177.202,False,elite,MY,,45102,"Alibaba (US) Technology Co., Ltd.",True,False,socks4://47.250.177.202:10804
socks5,45.74.31.25:4577,3452,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.25:4577
socks5,45.74.31.41:14716,3457,162.241.54.84,False,elite,US,,19871,"Network Solutions, LLC",False,True,socks5://45.74.31.41:14716
socks5,45.74.31.30:6155,3457,104.219.251.77,True,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.30:6155
socks5,43.134.39.221:10000,3462,43.134.39.221,False,elite,SG,,132203,Shenzhen Tencent Computer Systems Company Limited,True,False,socks5://43.134.39.221:10000
socks4,8.220.141.8:9080,3465,8.220.141.8,False,elite,PH,,45102,"Alibaba (US) Technology Co., Ltd.",True,False,socks4://8.220.141.8:9080
http,62.210.215.36:80,3467,62.210.215.36,False,elite,FR,,12876,Scaleway SAS,True,False,http://62.210.215.36:80
socks5,45.74.31.30:8434,3479,104.219.251.77,True,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.30:8434
socks5,45.74.31.25:16533,3488,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.25:16533
socks5,45.74.31.30:7140,3496,95.111.193.11,True,elite,SG,,202053,UpCloud Ltd,True,True,socks5://45.74.31.30:7140
socks5,45.74.31.50:13425,3498,162.241.54.84,True,elite,US,,19871,"Network Solutions, LLC",False,True,socks5://45.74.31.50:13425
socks5,45.74.31.23:6315,3500,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.23:6315
socks4,47.121.183.107:20000,3501,47.121.183.107,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://47.121.183.107:20000
http,45.147.179.118:3129,3504,2.27.131.49,True,elite,KZ,,208450,Megahost Kazakhstan TOO,True,False,http://45.147.179.118:3129
socks4,102.129.229.131:1081,3508,102.129.229.131,False,elite,TH,,138156,"CSNE Co., Ltd.",False,True,socks4://102.129.229.131:1081
socks4,47.121.182.88:8081,3510,47.121.182.88,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://47.121.182.88:8081
socks4,114.215.127.92:2080,3511,114.215.127.92,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://114.215.127.92:2080
socks5,45.74.31.47:6318,3512,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.47:6318
socks4,106.14.91.83:8082,3517,106.14.91.83,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://106.14.91.83:8082
http,131.153.163.86:8721,3523,76.38.74.169,True,elite,US,,11426,Charter Communications Inc,False,False,http://131.153.163.86:8721
socks4,47.112.15.44:8000,3524,47.112.15.44,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://47.112.15.44:8000
socks4,8.138.149.37:9080,3524,8.138.149.37,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://8.138.149.37:9080
socks5,43.251.225.109:1080,3527,43.251.225.109,True,elite,HK,,401696,cognetcloud INC,True,True,socks5://43.251.225.109:1080
socks4,39.102.211.64:8080,3532,39.102.211.64,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://39.102.211.64:8080
socks4,8.130.90.177:3128,3533,8.130.90.177,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://8.130.90.177:3128
socks4,8.138.133.207:9080,3534,8.138.133.207,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://8.138.133.207:9080
socks5,45.74.31.47:4115,3535,104.219.251.77,True,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.47:4115
http,103.177.8.119:10133,3540,36.70.199.93,False,elite,ID,,7713,Telekomunikasi Indonesia (PT),False,False,http://103.177.8.119:10133
socks4,47.104.27.165:9080,3542,47.104.27.165,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://47.104.27.165:9080
socks5,45.74.31.30:5051,3548,62.151.182.198,False,elite,US,,8560,IONOS SE,True,True,socks5://45.74.31.30:5051
socks5,45.74.31.47:7324,3552,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.47:7324
socks5,45.74.31.30:6518,3552,104.219.251.77,True,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.30:6518
socks5,45.74.31.23:7339,3553,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.23:7339
socks5,45.74.31.50:4031,3575,194.233.71.230,False,elite,SG,,141995,Contabo Asia Private Limited,True,False,socks5://45.74.31.50:4031
socks4,8.130.36.163:9999,3575,8.130.36.163,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://8.130.36.163:9999
socks5,45.74.31.42:4777,3598,141.94.17.246,True,elite,FR,,16276,OVH SAS,True,True,socks5://45.74.31.42:4777
socks4,39.104.57.33:9080,3599,39.104.57.33,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://39.104.57.33:9080
socks5,45.74.31.25:5178,3599,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.25:5178
socks5,45.74.31.23:10361,3618,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.23:10361
http,131.153.1.46:55560,3621,96.255.193.226,True,elite,US,,701,Verizon Business,False,False,http://131.153.1.46:55560
socks5,45.74.31.50:9536,3628,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.50:9536
socks5,45.74.31.47:7788,3642,173.199.119.161,False,elite,US,,20473,"The Constant Company, LLC",True,False,socks5://45.74.31.47:7788
socks5,45.74.31.30:9204,3642,159.198.47.56,False,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.30:9204
socks4,47.121.133.212:9200,3651,47.121.133.212,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://47.121.133.212:9200
http,131.153.1.43:21266,3655,73.134.165.206,True,elite,US,,7922,"Comcast Cable Communications, LLC",False,False,http://131.153.1.43:21266
socks5,45.74.31.25:8042,3658,172.168.194.20,True,elite,US,,8075,Microsoft Corporation,True,True,socks5://45.74.31.25:8042
socks5,45.74.31.22:13441,3666,162.241.54.84,False,elite,US,,19871,"Network Solutions, LLC",False,True,socks5://45.74.31.22:13441
socks4,39.104.59.56:8089,3675,39.104.59.56,False,elite,CN,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",True,False,socks4://39.104.59.56:8089
socks5,45.74.31.25:6832,3675,104.219.251.77,True,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.25:6832
socks5,45.74.31.30:5033,3681,62.151.182.198,False,elite,US,,8560,IONOS SE,True,True,socks5://45.74.31.30:5033
socks5,45.74.31.41:4253,3685,104.219.251.77,False,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.41:4253
socks5,45.74.31.23:14782,3693,104.219.251.77,False,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.23:14782
socks5,45.74.31.40:16213,3698,62.219.91.13,True,elite,IL,,8551,Bezeq International Ltd.,False,False,socks5://45.74.31.40:16213
socks5,45.74.31.47:14916,3702,125.99.240.61,True,elite,IN,,17488,HATHWAY CABLE AND DATACOM LIMITED,False,False,socks5://45.74.31.47:14916
http,131.153.163.84:24974,3717,72.83.179.54,False,elite,US,,701,Verizon Business,False,False,http://131.153.163.84:24974
socks5,45.74.31.25:8204,3720,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.25:8204
socks5,45.74.31.30:4791,3721,164.68.100.166,True,elite,DE,,51167,Contabo GmbH,True,True,socks5://45.74.31.30:4791
socks5,45.74.31.25:5469,3732,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.25:5469
socks5,45.74.31.40:7194,3738,34.132.56.138,True,elite,US,,396982,Google LLC,True,False,socks5://45.74.31.40:7194
socks5,45.74.31.25:13100,3739,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.25:13100
socks5,45.74.31.42:4003,3740,172.168.194.20,True,elite,US,,8075,Microsoft Corporation,True,True,socks5://45.74.31.42:4003
socks5,45.74.31.41:5353,3744,164.68.100.166,False,elite,DE,,51167,Contabo GmbH,True,True,socks5://45.74.31.41:5353
socks5,45.74.31.30:9713,3749,41.204.202.8,True,elite,ZA,,37153,Xneelo (Pty) Ltd,False,False,socks5://45.74.31.30:9713
socks5,45.74.31.42:8805,3755,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.42:8805
socks5,45.74.31.30:10128,3755,78.128.76.254,False,elite,BG,,57344,Telehouse EAD,False,True,socks5://45.74.31.30:10128
socks5,45.74.31.42:9297,3757,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.42:9297
http,131.153.163.86:20765,3787,96.246.242.206,True,elite,US,,701,Verizon Business,False,True,http://131.153.163.86:20765
socks5,45.74.31.23:6170,3787,69.6.214.192,False,elite,BR,,26337,"Oso Grande IP Services, LLC",False,True,socks5://45.74.31.23:6170
socks5,45.74.31.42:9094,3791,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.42:9094
socks5,45.74.31.50:4684,3792,141.94.17.246,False,elite,FR,,16276,OVH SAS,True,True,socks5://45.74.31.50:4684
socks5,45.74.31.25:8712,3796,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.25:8712
socks5,45.74.31.30:4843,3802,103.190.47.30,False,elite,ID,,9341,PT INDONESIA COMNETS PLUS,False,False,socks5://45.74.31.30:4843
socks5,45.74.31.30:4438,3807,91.134.248.230,True,elite,FR,,16276,OVH SAS,True,True,socks5://45.74.31.30:4438
socks5,45.74.31.50:11004,3808,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.50:11004
socks5,45.74.31.25:9064,3811,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.25:9064
socks5,45.74.31.42:9107,3817,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.42:9107
socks5,45.74.31.30:30514,3820,165.22.136.47,True,elite,US,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.30:30514
socks5,45.74.31.47:30023,3823,162.241.54.84,False,elite,US,,19871,"Network Solutions, LLC",False,True,socks5://45.74.31.47:30023
socks5,45.74.31.30:4121,3825,194.233.71.230,True,elite,SG,,141995,Contabo Asia Private Limited,True,False,socks5://45.74.31.30:4121
socks5,45.74.31.22:8180,3827,62.219.91.13,True,elite,IL,,8551,Bezeq International Ltd.,False,False,socks5://45.74.31.22:8180
